Timestamp,Overall Enjoyment,Overall Ease of Use,Ease of Pinning,Ease of Adding,Resources Viewed,View Resources Again,Save More Resources,Search Knowd,Learn independently,Find on Knowd
3/2/2015 14:54:24,4,3,,,2,5,5,5,6,2
3/2/2015 14:55:03,4,4,6,6,2,5,4,4,7,2
3/23/2015 14:25:18,4,6,6,6,2,4,3,3,3,2
3/23/2015 14:27:32,3,5,4,4,2,4,1,1,7,2
3/23/2015 14:47:27,5,6,6,5,2,5,5,5,7,2
3/23/2015 14:50:57,,6,6,7,2,,,,4,
3/30/2015 9:57:44,3,6,6,6,2,1,1,3,7,
3/30/2015 9:57:55,5,5,5,6,7,5,6,4,4,2
3/30/2015 9:58:42,3,5,4,5,2,3,3,2,4,2
3/30/2015 9:59:01,7,3,2,6,7,7,7,7,7,7
3/30/2015 10:01:19,5,7,,,2,5,5,5,7,2
3/30/2015 10:02:05,4,7,5,7,7,5,5,5,7,2
3/30/2015 10:02:54,4,5,6,6,7,4,3,4,4,2
3/30/2015 10:03:40,7,7,7,7,2,7,7,7,7,2
3/30/2015 10:04:57,6,6,5,6,7,5,6,6,6,2
3/30/2015 10:04:58,7,5,7,7,7,4,4,4,7,2
3/30/2015 10:05:04,3,2,3,,2,1,1,1,7,2
3/30/2015 10:05:26,4,7,7,7,2,3,4,1,7,
3/30/2015 10:05:28,3,3,7,7,2,2,1,1,6,2
3/30/2015 10:06:24,7,7,6,7,2,6,6,7,7,2
3/30/2015 10:06:36,5,5,7,6,2,5,6,6,7,2
3/30/2015 10:09:52,4,7,7,7,2,2,3,3,7,2
